3q-conflict,LX,34,5,2,0.0,34,5,2,0.0,0,Q1,Q2,Q3,
3q-conflict,LD,34,5,2,0.0,34,5,2,0.0,0,Q1,Q2,Q3,
3q-conflict,DEG,34,5,2,0.0,34,5,2,0.0,0,Q1,Q2,Q3,
3q-conflict,DD,34,5,2,1.0,34,5,2,1.0,0,Q1,Q2,Q3,
3q-intension,LX,34,5,2,4.0,34,5,2,4.0,0,V0,V1,V2,
3q-intension,LD,34,5,2,3.0,34,5,2,3.0,0,V0,V1,V2,
3q-intension,DEG,34,5,2,3.0,34,5,2,3.0,0,V0,V1,V2,
3q-intension,DD,34,5,2,4.0,34,5,2,4.0,0,V0,V1,V2,
4q-conflicts,LX,76,8,2,1.0,152,16,10,110.0,2,V0,V1,V2,V3,
4q-conflicts,LD,76,8,2,1.0,152,16,10,33.0,2,V0,V1,V2,V3,
4q-conflicts,DEG,76,8,2,1.0,152,16,10,150.0,2,V0,V1,V2,V3,
4q-conflicts,DD,76,8,2,1.0,152,16,10,43.0,2,V0,V1,V2,V3,
4q-supports,LX,48,4,0,0.0,96,14,1,36.0,8,V0,V1,V2,V3,
4q-supports,LD,48,4,0,0.0,96,14,1,35.0,8,V0,V1,V2,V3,
4q-supports,DEG,48,4,0,1.0,96,14,1,35.0,8,V0,V1,V2,V3,
4q-supports,DD,48,4,0,0.0,96,14,1,43.0,8,V0,V1,V2,V3,
5q-intension,LX,68,5,0,6.0,564,53,29,59.0,10,V0,V1,V2,V3,V4,
5q-intension,LD,68,5,0,10.0,564,53,29,69.0,10,V0,V1,V2,V3,V4,
5q-intension,DEG,68,5,0,10.0,564,53,29,107.0,10,V0,V1,V2,V3,V4,
5q-intension,DD,68,5,0,8.0,564,53,29,55.0,10,V0,V1,V2,V3,V4,
6q-conflicts,LX,442,26,11,139.0,1924,129,78,387.0,4,Q1,Q2,Q3,Q4,Q5,Q6,
6q-conflicts,LD,442,26,11,8.0,1924,129,78,50.0,4,Q1,Q2,Q3,Q4,Q5,Q6,
6q-conflicts,DEG,442,26,11,3.0,1924,129,78,39.0,4,Q1,Q2,Q3,Q4,Q5,Q6,
6q-conflicts,DD,442,26,11,3.0,1924,129,78,46.0,4,Q1,Q2,Q3,Q4,Q5,Q6,
6q-intension,LX,442,26,11,32.0,1924,129,78,112.0,4,V0,V1,V2,V3,V4,V5,
6q-intension,LD,442,26,11,33.0,1924,129,78,103.0,4,V0,V1,V2,V3,V4,V5,
6q-intension,DEG,442,26,11,30.0,1924,129,78,93.0,4,V0,V1,V2,V3,V4,V5,
6q-intension,DD,442,26,11,34.0,1924,129,78,97.0,4,V0,V1,V2,V3,V4,V5,
Instance0,LX,869066,19535,6569,854.0,1286415,29074,9714,1228.0,6,V0,V1,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V2,V3,V4,V5,V6,V7,V8,V9,
Instance0,LD,644496,18699,5342,1008.0,942127,27092,7786,1409.0,2,V0,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,
Instance0,DEG,16008773,485272,131947,11288.0,57629152,1714449,454234,33130.0,12,V10,V7,V3,V6,V11,V9,V0,V8,V15,V18,V1,V2,V4,V13,V14,V17,V5,V19,V12,V16,
Instance0,DD,198718,3994,1446,302.0,302312,6206,2279,451.0,9,V0,V1,V2,V4,V5,V8,V9,V12,V13,V14,V15,V16,V17,V18,V19,V3,V6,V7,V11,V10,
orderchain,LX,148,15,4,1.0,148,15,7,32.0,1,V1,V2,V3,V4,
orderchain,LD,148,15,4,2.0,148,15,7,151.0,1,V1,V2,V3,V4,
orderchain,DEG,201,26,8,2.0,252,35,13,37.0,1,V1,V4,V2,V3,
orderchain,DD,77,8,1,0.0,93,9,3,30.0,1,V2,V3,V1,V4,
ColAustralia-conflicts,LX,71,7,0,1.0,414,48,24,35.0,6,NSW,NT,Q,SA,T,V,WA,
ColAustralia-conflicts,LD,71,7,0,1.0,414,48,24,57.0,6,NSW,NT,Q,SA,T,V,WA,
ColAustralia-conflicts,DEG,74,7,0,1.0,834,106,37,39.0,12,T,V,WA,NSW,NT,Q,SA,
ColAustralia-conflicts,DD,65,7,0,0.0,273,42,15,30.0,6,SA,T,NSW,NT,Q,V,WA,
ColAustralia-intension,LX,71,7,0,2.0,414,48,24,28.0,6,NewSouthWales,NorthernTerritory,Queensland,SouthAustralia,Tasmania,Victoria,WesternAustralia,
ColAustralia-intension,LD,71,7,0,2.0,414,48,24,33.0,6,NewSouthWales,NorthernTerritory,Queensland,SouthAustralia,Tasmania,Victoria,WesternAustralia,
ColAustralia-intension,DEG,74,7,0,3.0,834,106,37,66.0,12,Tasmania,Victoria,WesternAustralia,NewSouthWales,NorthernTerritory,Queensland,SouthAustralia,
ColAustralia-intension,DD,65,7,0,2.0,273,42,15,25.0,6,SouthAustralia,Tasmania,NewSouthWales,NorthernTerritory,Queensland,Victoria,WesternAustralia,
mutexK4,LX,17,4,0,0.0,34,8,2,31.0,2,V1,V2,V3,V4,
mutexK4,LD,17,4,0,0.0,34,8,2,35.0,2,V1,V2,V3,V4,
mutexK4,DEG,17,4,0,0.0,34,8,2,34.0,2,V1,V2,V3,V4,
mutexK4,DD,17,4,0,0.0,34,8,2,33.0,2,V1,V2,V3,V4,
zebra,LX,1561,25,0,7.0,29204,1914,411,79.0,240,Chesterfield,England,Japan,Kool,LuckyStripe,Norway,OldGold,Parliment,Spain,Ukrane,blue,coffee,dog,fox,green,horse,ivory,milk,oj,red,snail,tea,water,yellow,zebra,
zebra,LD,1709,25,0,11.0,7016,690,411,64.0,240,Norway,England,Japan,Spain,Ukrane,blue,red,green,yellow,ivory,coffee,tea,oj,milk,water,horse,snail,zebra,fox,dog,Chesterfield,Parliment,LuckyStripe,Kool,OldGold,
zebra,DEG,1556,25,0,7.0,7752,928,411,63.0,240,milk,water,zebra,Norway,England,Japan,Spain,Ukrane,blue,red,yellow,ivory,coffee,tea,oj,horse,snail,fox,dog,Chesterfield,Parliment,LuckyStripe,OldGold,green,Kool,
zebra,DD,1612,25,0,7.0,17902,842,411,66.0,240,green,Kool,Norway,England,Japan,Spain,Ukrane,blue,red,yellow,ivory,coffee,tea,oj,milk,water,horse,snail,zebra,fox,dog,Chesterfield,Parliment,LuckyStripe,OldGold,
zebra-intension-binary,LX,15366,636,131,106.0,2466464,107116,22057,5289.0,631,V0,V1,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V2,V20,V21,V22,V23,V24,V3,V4,V5,V6,V7,V8,V9,
zebra-intension-binary,LD,1514,35,2,16.0,1143724,42774,14535,2454.0,1188,V0,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,
zebra-intension-binary,DEG,72356,2266,811,296.0,24869926,814648,287032,45972.0,828,V16,V21,V24,V1,V2,V3,V4,V5,V7,V8,V9,V10,V11,V12,V13,V14,V15,V17,V18,V19,V20,V22,V23,V0,V6,
