Instance0,1950,118,0,0,0,0
Instance1,1919,174,0,0,0,0
Instance3,1929,42,0,0,0,0
Instance5,1950,36,0,0,0,0
Instance7,1947,40,0,0,0,0
Instance9,1944,38,0,0,0,0
Instance11,1940,58,0,0,0,0
Instance13,1915,34,0,0,0,0
Instance15,1942,48,0,0,0,0
Instance17,1978,75,0,0,0,0
Instance19,1937,56,0,0,0,0
Instance21,1937,52,0,0,0,0
Instance23,1929,28,0,0,0,0
Instance26,1967,29,0,0,0,0
Instance28,1961,40,0,0,0,0
Instance30,1969,52,0,0,0,0
Instance32,1963,48,0,0,0,0
Instance34,1939,45,0,0,0,0
Instance36,1917,30,0,0,0,0
Instance38,1913,68,0,0,0,0
Instance40,1948,40,0,0,0,0
Instance42,1961,59,0,0,0,0
Instance44,1934,54,0,0,0,0
Instance46,1928,44,0,0,0,0
Instance48,1943,70,0,0,0,0
Instance50,1978,39,0,0,0,0
Instance52,1951,54,0,0,0,0
Instance54,1948,32,0,0,0,0
Instance56,1923,48,0,0,0,0
Instance58,1960,32,0,0,0,0
Instance60,1891,107,0,0,0,0
Instance62,1932,70,0,0,0,0
Instance64,1959,89,0,0,0,0
Instance66,1920,80,0,0,0,0
Instance68,1924,63,0,0,0,0
Instance70,1938,107,0,0,0,0
Instance72,1926,51,0,0,0,0
Instance74,1946,71,0,0,0,0
Instance76,1934,119,0,0,0,0
Instance78,1953,57,0,0,0,0
Instance80,1936,66,0,0,0,0
Instance82,2003,78,0,0,0,0
Instance84,1951,128,0,0,0,0
Instance86,1940,41,0,0,0,0
Instance88,1943,50,0,0,0,0
Instance90,1933,36,0,0,0,0
Instance92,1939,30,0,0,0,0
Instance94,1910,37,0,0,0,0
Instance96,1925,60,0,0,0,0
Instance98,1950,32,0,0,0,0
Instance0,2187,168,0,0,0,0
Instance1,2268,50,0,0,0,0
Instance3,2182,216,0,0,0,0
Instance5,2342,76,1,0,0,0
Instance7,2271,53,0,0,0,0
Instance9,2232,126,0,0,0,0
Instance11,2218,55,0,0,0,0
Instance13,2227,60,0,0,0,0
Instance15,2197,74,0,0,0,0
Instance17,2270,50,0,0,0,0
Instance19,2248,34,0,0,0,0
Instance21,2188,69,0,0,0,0
Instance23,2226,36,0,0,0,0
Instance25,2248,57,0,0,0,0
